GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
8.74,34.7 ,28.874,31.11 ,,,,,
8.76,35.5 ,30.325,31.16 ,,,,,
8.78,35.3 ,30.767,31.21 ,,,,,
8.8,33.6 ,27.268,31.26 ,,,,,
8.82,33.9 ,26.788,31.31 ,,,,,
8.84,34.8 ,28.774,31.37 ,,,,,
8.86,34.0 ,29.946,31.42 ,,,,,
8.88,34.3 ,30.27,31.47 ,,,,,
8.9,34.4 ,29.319,31.52 ,,,,,
8.92,34.5 ,30.703,31.57 ,,,,,
8.94,35.3 ,29.828,31.62 ,,,,,
8.96,35.2 ,30.783,31.67 ,,,,,
8.98,35.2 ,28.48,31.72 ,,,,,
9,35.6 ,27.065,31.77 ,,,,,
9.02,36.2 ,25.475,31.83 ,,,,,
9.04,37.1 ,26.831,31.89 ,,,,,
9.06,39.7 ,25.784,31.95 ,,,,,
9.08,41.0 ,27.071,32.00 ,,,,,
9.1,40.8 ,25.101,32.06 ,,,,,
9.12,38.8 ,24.947,32.12 ,,,,,
9.14,36.8 ,29.202,32.17 ,,,,,
9.16,36.3 ,29.931,32.22 ,,,,,
9.18,36.3 ,31.007,32.27 ,,,,,
9.2,34.3 ,33.465,32.32 ,,,,,
9.22,34.5 ,32.844,32.36 ,,,,,
9.24,35.1 ,31.934,32.41 ,,,,,
9.26,32.9 ,33.402,32.45 ,,,,,
9.28,32.2 ,31.744,32.50 ,,,,,
9.3,32.2 ,29.982,32.55 ,,,,,
9.32,32.9 ,28.649,32.60 ,,,,,
9.34,34.6 ,31.331,32.65 ,,,,,
9.36,33.6 ,29.404,32.70 ,,,,,
9.38,33.7 ,28.408,32.76 ,,,,,
9.4,33.5 ,26.957,32.81 ,,,,,
9.42,34.0 ,28.316,32.86 ,,,,,
9.44,34.2 ,28.191,32.92 ,,,,,
9.46,33.9 ,28.156,32.97 ,,,,,
9.48,33.1 ,25.978,33.03 ,,,,,
9.5,32.4 ,28.178,33.08 ,,,,,
9.52,32.9 ,27.975,33.13 ,,,,,
9.54,33.4 ,28.901,33.19 ,,,,,
9.56,33.4 ,30.242,33.23 ,,,,,
9.58,33.7 ,31.474,33.28 ,,,,,
9.6,33.9 ,31.568,33.33 ,,,,,
9.62,34.6 ,29.59,33.38 ,,,,,
9.64,35.3 ,29.361,33.43 ,,,,,
9.66,35.8 ,27.881,33.49 ,,,,,
9.68,35.8 ,28.04,33.54 ,,,,,
9.7,35.6 ,29.608,33.59 ,,,,,
9.72,35.3 ,28.063,33.64 ,,,,,
9.74,35.7 ,28.511,33.69 ,,,,,
9.76,34.5 ,32.273,33.74 ,,,,,
9.78,35.6 ,33.631,33.79 ,,,,,
9.8,34.1 ,31.046,33.84 ,,,,,
9.82,34.2 ,31.973,33.88 ,,,,,
9.84,34.0 ,33.373,33.93 ,,,,,
9.86,34.7 ,32.081,33.97 ,,,,,
9.88,34.9 ,30.515,34.02 ,,,,,
9.9,35.3 ,30.007,34.07 ,,,,,
9.92,35.3 ,31.185,34.12 ,,,,,
9.94,35.8 ,34.09,34.17 ,,,,,
9.96,36.3 ,32.349,34.21 ,,,,,
9.98,37.4 ,34.019,34.26 ,,,,,
10,36.0 ,29.811,34.31 ,,,,,
10.02,36.0 ,30.66,34.35 ,,,,,
10.04,36.4 ,33.015,34.40 ,,,,,
10.06,37.0 ,33.394,34.44 ,,,,,
10.08,36.5 ,33.608,34.49 ,,,,,
10.1,34.6 ,29.556,34.54 ,,,,,
10.12,32.9 ,27.115,34.59 ,,,,,
10.14,33.7 ,28.991,34.65 ,,,,,
10.16,34.6 ,30.564,34.70 ,,,,,
10.18,35.8 ,29.44,34.75 ,,,,,
10.2,34.1 ,28.25,34.80 ,,,,,
10.22,33.6 ,28.836,34.85 ,,,,,
