Age 1,O181,,,Age2,O182
26.373,-6.74,,4113.5,4.1135,-8.63
26.427,-7.04,,4117.8,4.1178,-8.11
26.482,-6.9,,4126.3,4.1263,-8.14
26.536,-6.84,,4134.9,4.1349,-8.38
26.59,-6.78,,4143.4,4.1434,-8.28
26.645,-6.68,,4152,4.152,-7.7
26.699,-6.75,,4175.5,4.1755,-7.95
26.754,-6.85,,4199,4.199,-8.47
26.808,-7.2,,4222.4,4.2224,-8.41
26.862,-7.38,,4245.9,4.2459,-7.92
26.917,-7.33,,4272.9,4.2729,-8.18
26.971,-7.19,,4305.3,4.3053,-8.51
27.026,-7.09,,4337.7,4.3377,-8.62
27.08,-7.01,,4370,4.37,-8.59
27.152,-6.99,,4402.4,4.4024,-8.3
27.296,-7.04,,4434.8,4.4348,-8.49
27.439,-7.14,,4467.1,4.4671,-8.5
27.583,-7.16,,4499.5,4.4995,-7.57
27.726,-7.56,,4531.9,4.5319,-8.48
27.87,-7.74,,4564.2,4.5642,-8.46
28.014,-7.13,,4596.6,4.5966,-8.5
28.157,-6.97,,4629,4.629,-7.87
28.301,-7.03,,4679.8,4.6798,-7.98
28.445,-6.94,,4730.5,4.7305,-8.53
28.588,-6.99,,4781.3,4.7813,-8.5
28.732,-7.41,,4832.1,4.8321,-8.3
28.876,-7.76,,4882.8,4.8828,-8.67
29.019,-8.06,,4933.6,4.9336,-8.35
29.163,-8.05,,4984.3,4.9843,-8.43
29.428,-8.55,,5009.7,5.0097,-8.3
29.694,-8,,5035.1,5.0351,-8.43
29.959,-7.47,,5060.5,5.0605,-8.18
30.225,-6.65,,5085.8,5.0858,-8.12
30.49,-6.59,,5111.2,5.1112,-8.4
30.7,-6.73,,5136.6,5.1366,-8.05
30.91,-7.07,,5162,5.162,-7.82
31.12,-7.18,,5177.3,5.1773,-7.77
31.33,-7.85,,5190.2,5.1902,-8.47
31.54,-7.64,,5203.1,5.2031,-8.44
31.75,-7.63,,5215.9,5.2159,-7.88
31.96,-7.61,,5228.8,5.2288,-8.49
32.17,-7.31,,5241.6,5.2416,-8.65
32.375,-7.44,,5254.5,5.2545,-8.4
32.58,-8.29,,5267.3,5.2673,-8.38
32.785,-8.61,,5280.2,5.2802,-8.57
32.99,-7.17,,5293.1,5.2931,-8.15
,,,5305.9,5.3059,-8.49
,,,5318.8,5.3188,-8.35
,,,5331.6,5.3316,-8.45
,,,5344.5,5.3445,-8.5
,,,5357.3,5.3573,-8.59
,,,5370.2,5.3702,-8.46
,,,5383,5.383,-8.65
,,,5389.5,5.3895,-8.55
,,,5395.9,5.3959,-8.66
,,,5402.4,5.4024,-8.78
,,,5405,5.405,-8.7
,,,5414.1,5.4141,-8.56
,,,5420.5,5.4205,-8.52
,,,5427,5.427,-8.73
,,,5433.5,5.4335,-8.66
,,,5440,5.44,-8.12
,,,5452.9,5.4529,-8.31
,,,5459.4,5.4594,-8.69
,,,5465.9,5.4659,-8.91
,,,5472.4,5.4724,-8.05
,,,5478.8,5.4788,-8.28
,,,5485.3,5.4853,-8.81
,,,5491.8,5.4918,-8.73
,,,5498.3,5.4983,-8.93
,,,5504.7,5.5047,-8.49
,,,5511.2,5.5112,-8.59
,,,5517.7,5.5177,-8.46
,,,5524.2,5.5242,-8.76
,,,5530.6,5.5306,-8.85
,,,5537.1,5.5371,-8.38
,,,5543.6,5.5436,-8.91
,,,5550.1,5.5501,-8.67
,,,5556.6,5.5566,-8.56
,,,5563,5.563,-8.51
,,,5569.5,5.5695,-8.64
,,,5576,5.576,-8.97
,,,5595.4,5.5954,-8.42
,,,5621.3,5.6213,-8.82
,,,5647.2,5.6472,-9.17
,,,5673.1,5.6731,-9.17
,,,5699,5.699,-9.04
,,,5724.9,5.7249,-8.57
,,,5750.8,5.7508,-9.28
,,,5782.1,5.7821,-8.79
,,,5825.8,5.8258,-8.95
,,,5869.5,5.8695,-8.78
,,,5913.2,5.9132,-9.06
,,,5956.9,5.9569,-8.71
,,,6000.6,6.0006,-8.81
,,,6044.3,6.0443,-8.96
,,,6088,6.088,-8.89
,,,6131.7,6.1317,-9.06
,,,6175.4,6.1754,-8.82
,,,6219.1,6.2191,-8.76
,,,6262.8,6.2628,-9.03
,,,6306.5,6.3065,-8.87
,,,6343.5,6.3435,-8.82
,,,6376.2,6.3762,-8.55
,,,6408.8,6.4088,-8.9
,,,6441.4,6.4414,-8.95
,,,6474,6.474,-8.96
,,,6506.6,6.5066,-8.9
,,,6539.2,6.5392,-8.5
,,,6578.4,6.5784,-8.8
